ds,yhat,yhat_lower,yhat_upper,category_num,category_name
2025-04-01,21474.54386041109,14805.248756334153,29068.630520261777,160,Diamond Pendants
2025-05-01,21856.251435995568,14671.334816548619,28695.729446344092,160,Diamond Pendants
2025-06-01,22917.311267618268,15457.569196313512,29758.420974527722,160,Diamond Pendants
2025-07-01,25055.195655728905,18150.18469472537,32855.765708324805,160,Diamond Pendants
2025-08-01,24416.046799072144,17260.581227321123,30941.721079169347,160,Diamond Pendants
2025-09-01,14465.29072341214,7274.582517371743,21680.14507620077,160,Diamond Pendants
2025-10-01,13389.760393849045,6213.432029314861,20352.27789081949,160,Diamond Pendants
2025-11-01,26061.381723455048,18484.277027413216,32849.12265462789,160,Diamond Pendants
2025-12-01,133432.65356801217,126555.77942265886,140489.16712598375,160,Diamond Pendants
2025-01-01,66821.46267765775,38088.930325274116,98259.41634038293,155,Diamond Studs
2025-02-01,70830.71727975752,42804.27221676326,99606.23167572172,155,Diamond Studs
2025-03-01,62521.560170524084,33383.8404346623,92216.52453136018,155,Diamond Studs
2025-04-01,55842.54146384653,28046.806054131695,83692.00547888575,155,Diamond Studs
2025-05-01,47159.615653150504,18377.86691563925,74947.58410727569,155,Diamond Studs
2025-06-01,39519.33210019429,10932.32457671637,67080.96093615408,155,Diamond Studs
2025-07-01,32114.47338286057,2953.133970487691,60596.63013347669,155,Diamond Studs
2025-08-01,48017.96360747176,20069.971824745968,76596.892057332,155,Diamond Studs
2025-09-01,38763.54943010953,11017.716633572585,66614.86608007173,155,Diamond Studs
2025-10-01,38165.29448689829,11597.076451444356,66041.72674397218,155,Diamond Studs
2025-11-01,52932.394672548624,27333.562023798324,83549.71356872022,155,Diamond Studs
2025-12-01,210963.04739011257,180419.6364378836,238582.66735948008,155,Diamond Studs
2025-01-01,63605.27107598613,31748.240521858614,93049.24906134342,105,Live Bridal
2025-02-01,38185.92842838906,7551.784488992933,67749.40016146952,105,Live Bridal
2025-03-01,68234.3437008886,38238.58141888144,98928.31100708483,105,Live Bridal
2025-04-01,47562.23050812788,19294.89919586306,78050.98300749224,105,Live Bridal
2025-05-01,53447.986906733364,23164.259608944347,82660.79642268235,105,Live Bridal
2025-06-01,49609.233416505806,19257.049031404098,81003.62474742834,105,Live Bridal
2025-07-01,53160.4950083931,22767.716600171738,82680.1164346122,105,Live Bridal
2025-08-01,66444.54235131251,36007.07103845482,98511.52913062196,105,Live Bridal
2025-09-01,51394.96239546845,20557.63498413093,85198.88787100671,105,Live Bridal
2025-10-01,86325.97191153825,55368.21536023864,118165.50861156199,105,Live Bridal
2025-11-01,63283.21239314784,32958.44969336367,93856.02560012639,105,Live Bridal
2025-12-01,143092.84911946944,115321.31026783673,173174.55161341032,105,Live Bridal
2025-01-01,14628.622580194853,7458.227858787332,21919.60497100389,430,Gold Chains
2025-02-01,22263.063572742467,15378.58264758266,29434.52542399873,430,Gold Chains
2025-03-01,21006.61392455603,13892.299760904541,28164.332425894925,430,Gold Chains
2025-04-01,16197.716024262103,8783.032428425464,23410.122199696176,430,Gold Chains
2025-05-01,19538.056223439653,12448.901681914716,26686.818876714045,430,Gold Chains
2025-06-01,21901.737083985256,14990.676266967976,28628.147321657103,430,Gold Chains
2025-07-01,19884.12304781897,12973.678901154797,27291.663215781908,430,Gold Chains
2025-08-01,18256.945847361974,10830.388172448786,25707.54966954577,430,Gold Chains
2025-09-01,17524.82054713332,9900.877857248397,24278.93099193834,430,Gold Chains
2025-10-01,18736.03084602725,11377.0467415128,25603.87230742982,430,Gold Chains
2025-11-01,20427.07975690894,13228.421745130914,27059.745721599164,430,Gold Chains
2025-12-01,61857.6216819491,54482.91664142355,68704.24858522204,430,Gold Chains
